Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:55:08.101 PM] Pressure: -80.22,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.095
[ 1:55:08.204 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.204
[ 1:55:08.318 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.312
[ 1:55:08.419 PM] Pressure: -80.22,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.420
[ 1:55:08.543 PM] Pressure: -80.22,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.528
[ 1:55:08.656 PM] Pressure: -80.22,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.636
[ 1:55:08.757 PM] Pressure: -80.22,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.744
[ 1:55:08.848 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.852
[ 1:55:08.972 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:36.961
[ 1:55:09.074 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.067
[ 1:55:09.185 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.175
[ 1:55:09.287 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.284
[ 1:55:09.400 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.391
[ 1:55:09.524 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.500
[ 1:55:09.625 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.608
[ 1:55:09.739 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.716
[ 1:55:09.841 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.824
[ 1:55:09.953 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:37.932
[ 1:55:10.056 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.039
